Time resolution is 1 ps
Simulation is started
Time	    a	    b	    s	    result	    CF	   ZF	   OF	   NF	
_____________________________________________________________________________________
10000	 a= 127	 b=  10 	 s= 0, result=   137	  CF=0	 ZF=0	 OF=1	 NF=0 
20000	 a=  12	 b= -10 	 s= 1, result=    22	  CF=0	 ZF=0	 OF=0	 NF=0 
30000	 a= 125	 b= -10 	 s= 2, result= -1250	  CF=0	 ZF=0	 OF=0	 NF=1 
40000	 a= -65	 b=  10 	 s= 3, result=    -6	  CF=0	 ZF=0	 OF=0	 NF=1 
50000	 a=  12	 b= -13 	 s= 4, result=    12	  CF=0	 ZF=0	 OF=0	 NF=0 
60000	 a=  85	 b= 101 	 s= 5, result=    69	  CF=0	 ZF=0	 OF=0	 NF=0 
70000	 a=  85	 b= 101 	 s= 6, result=   117	  CF=0	 ZF=0	 OF=0	 NF=0 
80000	 a=  85	 b= 101 	 s= 7, result=    48	  CF=0	 ZF=0	 OF=0	 NF=0 
90000	 a=  85	 b= 101 	 s= 8, result=   -49	  CF=0	 ZF=0	 OF=0	 NF=1 
100000	 a=  85	 b= 101 	 s= 9, result=   -86	  CF=0	 ZF=0	 OF=0	 NF=1 
110000	 a=  85	 b= 101 	 s=10, result=   -70	  CF=0	 ZF=0	 OF=0	 NF=1 
120000	 a=  85	 b= 101 	 s=11, result=  -118	  CF=0	 ZF=0	 OF=0	 NF=1 
130000	 a=  85	 b= 101 	 s=12, result=     1	  CF=0	 ZF=0	 OF=0	 NF=0 
140000	 a=  85	 b= 101 	 s=13, result=     1	  CF=0	 ZF=0	 OF=0	 NF=0 
150000	 a=  85	 b= 101 	 s=14, result=     0	  CF=0	 ZF=1	 OF=0	 NF=0 
160000	 a=  85	 b=   1 	 s=15, result=    42	  CF=0	 ZF=0	 OF=0	 NF=0 
170000	 a=  85	 b=   1 	 s=16, result=   170	  CF=0	 ZF=0	 OF=0	 NF=0 
180000	 a=  85	 b=   1 	 s=17, result=    42	  CF=0	 ZF=0	 OF=0	 NF=0 
190000	 a=  85	 b=   1 	 s=18, result=   170	  CF=0	 ZF=0	 OF=0	 NF=0 
200000	 a=  85	 b=   1 	 s=19, result=   170	  CF=0	 ZF=0	 OF=0	 NF=0 
210000	 a=  85	 b=   1 	 s=20, result=   170	  CF=0	 ZF=0	 OF=0	 NF=0 
220000	 a=  85	 b=  86 	 s=21, result=     0	  CF=0	 ZF=1	 OF=0	 NF=0 
230000	 a=  85	 b= 101 	 s=22, result=     1	  CF=0	 ZF=0	 OF=0	 NF=0 
240000	 a=  85	 b= 101 	 s=23, result=     0	  CF=0	 ZF=1	 OF=0	 NF=0 
250000	 a=  85	 b= 101 	 s=24, result=     1	  CF=0	 ZF=0	 OF=0	 NF=0 
260000	 a=  85	 b= 101 	 s=25, result=     0	  CF=0	 ZF=1	 OF=0	 NF=0 
270000	 a=  85	 b= 101 	 s=26, result=     1	  CF=0	 ZF=0	 OF=0	 NF=0 
280000	 a=  85	 b= 101 	 s=26, result=     1	  CF=0	 ZF=0	 OF=0	 NF=0 
$finish called at time : 290 ns : File "C:/vivado/8bit_ALU/8bit_ALU.srcs/sim_1/new/ALU8bit_tb.v" Line 151
